,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
B08M9VZCWN,25.5,,,,,25.99,29.98,,,,28.73,,30.62164705882353,31.258181818181818,33.08525641025641,33.97456140350877,34.33747252747253,32.57,,,,24.990000000000002,,,,38.5,29.98
B09BK5G8NT,,,14.99,16.990000000000002,20.323333333333334,,,,22.99,,,,,,22.99,,,22.99,,,,,,,,,
B09MDHVM8N,,,41.49,40.27571428571429,37.24,49.99,32.99,49.99,,,32.99,,,30.285,30.285,28.990000000000002,,,,,,44.11818181818182,,36.49,,,
B09NMQ323Y,,,10.59,,12.434999999999999,9.661428571428571,,,,,8.235,,,10.123333333333333,,,,,9.84,10.03,10.166190476190476,9.99,9.84,10.703333333333333,9.736363636363636,19.475,16.94
B09RC53KVZ,,,14.76,13.98,,14.76,,,,13.98,14.76,12.27,12.27,14.58,,14.695,15.082307692307692,,15.815000000000001,,13.15,14.700000000000001,14.344285714285714,18.296,13.830000000000002,14.622857142857143,15.2990625
B09S86F555,,,17.0,27.286,28.285,32.18333333333333,23.29,,28.25875,47.11157894736842,37.490967741935485,42.495000000000005,38.38418181818182,38.854375,33.60821428571428,23.79,,22.509999999999998,22.25,,21.41,38.28,31.699411764705882,26.688,,,
B0B192RX4X,15.48,,,,12.0,,,,,14.04,14.963333333333333,14.846153846153847,,12.0,,15.0,12.0,,,6.318,13.0,10.620000000000001,15.1975,15.0,15.24,13.160000000000002,
B0BVG9FZ85,,,,,49.82,52.223333333333336,56.96,49.72615384615385,53.005,56.44563636363637,54.410714285714285,49.127042253521125,49.82921052631579,49.6082,49.0548717948718,49.23307692307692,49.29857142857143,36.901428571428575,31.3508,34.702962962962964,39.64272727272727,39.55487804878049,43.69862068965517,51.00888888888889,52.10648148148148,51.87736842105263,54.9075
B0BZ8JTJXQ,,,,,,,35.09823529411765,34.20481481481482,35.168125,,37.9775,,,49.08672131147541,53.86344262295082,48.36541666666667,51.06973684210526,51.967352941176465,56.27232142857143,38.39833333333333,39.281176470588235,45.371818181818185,,,,36.99,38.49
B0BZJSVXJZ,,,,,37.5,,,37.525,,,30.23,,,,,,,31.774,25.66,22.04,31.303589743589743,32.815,32.815,32.815,,39.0,34.125
B0C6FKV2PR,,,,,,,19.828,21.77,22.807916666666667,22.15941176470588,22.549824561403508,22.06433333333333,22.698235294117648,22.46054054054054,22.75766666666667,22.835135135135136,22.834791666666664,22.477714285714285,21.493225806451612,22.235,21.485294117647058,21.287,22.235,22.235,22.208965517241378,22.235,22.234999999999996
B0C7FBH4QV,,,,,,,24.70375,29.049999999999997,28.37685185185185,36.68322580645162,27.816923076923075,29.55395348837209,28.570555555555554,25.695555555555554,20.456,17.86727272727273,17.485,15.99,15.567142857142857,17.406666666666666,17.813333333333333,20.1,22.64833333333333,23.494285714285713,23.985,23.985,23.985
B0CDCQB6WN,,,,,,,,,40.0,,,,,,37.0,,38.0,,,,,37.0,,,38.016666666666666,41.275,39.245000000000005
B0CJVS18JS,,,,,,,,,,,16.735,11.24,14.115,14.986666666666666,14.152222222222223,14.281666666666666,,,,,10.115,,,10.651666666666666,11.14,12.260714285714286,12.8786301369863
B0CZ4KLN8Q,,,,,,,,,,,,,,,,,29.99,29.99,26.86,24.99,41.53,,,53.78583333333333,52.99830769230769,50.111538461538466,47.187179487179485
B0CZF7YF6F,,,,,,,,,,,,,,,,,39.99,35.706111111111106,31.19538461538462,28.228571428571428,26.903333333333332,26.995,44.05639344262295,31.088,36.526041666666664,40.965312499999996,30.732499999999998
B0D14VR1KM,,,,,,,,,,,,,,,,,9.54,,11.0925,10.754999999999999,,8.295,8.295,,,,8.295
B0DJ1Z3XW4,,,,,,,,,,,,,,,,,,,,,,,33.8,33.8,,35.45,35.4
B0DJ1ZGDC5,,,,,,,,,,,,,,,,,,,,,,,34.5,34.5,,37.5,
B0DPXTMSHN,,,,,,,,,,,,,,,,,,,,,,,,,,14.99,
B09B96HTZZ,36.99,,34.29,,35.64,36.97666666666667,36.69166666666667,36.871,36.77666666666667,33.29,43.64625,34.215,35.99,43.67666666666667,49.15266666666666,32.75833333333333,49.769999999999996,42.6,38.13,37.60157894736842,39.11586206896551,29.59,37.74590909090909,38.00086956521739,44.57769230769231
B09HKYY5RL,48.74666666666667,46.66615384615385,61.9225,51.501999999999995,55.11,58.45791666666667,60.68142857142857,56.506,66.53399999999999,50.373333333333335,,46.56,62.81666666666666,71.498125,46.394999999999996,41.18214285714286,50.748620689655176,65.609375,60.91682926829269,49.75,56.123125,74.44,,45.26916666666667,65.59
B09LSNJTWF,17.57,14.704166666666666,15.15,16.015833333333333,15.81,,17.11,17.93,26.790588235294116,26.459999999999997,21.594285714285714,,26.524,30.53,20.838461538461537,24.08,18.29,,,16.486923076923077,16.44390243902439,16.361836734693878,16.37,,13.155000000000001
B09S26542Z,17.57375,16.075833333333332,17.430625,,18.0,,18.0,15.806666666666667,19.14,16.725,20.313333333333333,19.99,17.685,19.028,16.98,15.95,18.473333333333333,18.085,17.88,,16.65875,16.653750000000002,16.54,20.0,18.0
B09WJMWCVQ,23.99,23.046842105263156,19.71,,21.77333333333333,23.983333333333334,22.646666666666665,27.93166666666667,,18.0375,20.705,21.926666666666666,23.97,22.19666666666667,22.723333333333333,20.063333333333333,15.97,21.439999999999998,23.436666666666667,25.32,22.5825,15.51142857142857,16.147,22.235555555555557,25.6475
B0BQ5KRNJN,,8.99,8.82,,,8.905000000000001,,8.82,8.82,,,9.61,9.586428571428572,10.856875,,,9.86,,13.436666666666666,15.975,14.679999999999998,,,,13.38
B0BS1XTLPS,13.030000000000001,17.04,18.4125,19.615142857142857,18.25142857142857,17.85642857142857,17.77852941176471,18.09926829268293,19.041249999999998,20.296857142857142,19.01090909090909,18.398965517241383,17.69333333333333,17.11,17.258,16.206818181818182,16.35257142857143,12.95,13.035555555555554,14.574000000000002,15.637272727272727,11.04,13.8,14.554117647058824,13.850000000000001
B0C6C2C1Z7,,,,,9.565000000000001,7.99,6.79,7.99,,,7.172,6.8475,6.626,6.0912500000000005,5.66875,6.732857142857142,6.04,,,7.875,7.875,6.89,6.99,,6.640000000000001
B0CGVRYSW5,,,,,,,,47.815,43.43655172413793,47.55315789473684,35.263636363636365,28.296666666666667,40.0,11.52,,,11.52,,16.442666666666664,25.16794871794872,21.140444444444444,,11.52,11.52,11.52
B0CHXWGBMJ,,,,,,,,18.91,19.45,,,,,,,18.49,,18.49,18.386666666666667,,20.49,20.99,,,
B0CM43QLM7,,,,,,,,,,,23.32428571428571,22.441875,21.825,21.865,,,,,22.925454545454546,21.84357142857143,22.5475,20.715,20.715,25.125,
B0CQPMSV85,,,,,,,,,,,,31.213333333333335,33.50333333333334,33.605000000000004,24.95,20.314,19.45157894736842,42.0,38.489999999999995,,,,,,34.98
B0CTVHB9Z6,,,,,,,,,,,,,,6.46,,4.46,6.096666666666667,8.581515151515152,7.2,7.74,7.26,9.456428571428573,7.99,7.19,7.99
B0CZMFXMJQ,,,,,,,,,,,,,,,95.06315789473685,87.96625,89.76923076923077,82.84,79.2,81.215,77.90772727272727,79.02277777777778,79.37428571428572,77.1285,79.39314285714286
B0D1LVGPGW,,,,,,,,,,,,,,,41.79,43.55,43.99,,,40.644999999999996,,38.49,38.49,41.1725,43.94
B0D54QFW77,,,,,,,,,,,,,,,,,29.88,26.569999999999997,,28.68,26.875,19.95,28.585,26.319999999999997,28.539166666666663
B0D8QY2Y2D,,,,,,,,,,,,,,,,,,,,17.99,17.99,,12.26,11.035,11.7
B0DGH3VNMF,,,,,,,,,,,,,,,,,,,,18.99,14.909999999999998,,14.73,16.35527272727273,26.062653061224488
B0DQZMS5KH,,,,,,,,,,,,,,,,,,,,,,,,23.479999999999997,
B0DTLYVG3Y,,,,,,,,,,,,,,,,,,,,,,,,,59.99
B093667QV4,,,,,,,,,,,,,,,,55.99,68.70625,80.20166666666667,77.36846153846153,64.92875,65.76666666666667,74.46857142857142,66.92857142857143,73.32333333333334,65.47571428571429,41.604,,65.76444444444445,77.2009090909091,65.95,59.22666666666666,51.67956521739131,45.964999999999996,47.29117647058824,46.0,46.467777777777776,48.39714285714285,49.125,61.33583333333333,75.22200000000001
B094GT18CQ,,,,,,,,,,,,,,,3.91,,10.492222222222223,11.179,3.77,3.93,4.4484615384615385,3.77,4.38,3.72,4.203888888888889,4.2556666666666665,4.2225,,,2.674285714285714,3.72,,3.72,3.8000000000000003,,,3.0,3.84,3.84,3.84
B09C7V3MKS,,,,,,,,,,,,,,,,21.924999999999997,13.865,10.026666666666667,18.82510067114094,18.371166666666667,6.481538461538462,6.828333333333333,6.860000000000001,6.677209302325582,6.59,6.590000000000001,6.590000000000001,6.626,6.59,,5.75,,5.669999999999999,5.8100000000000005,5.887142857142857,5.933478260869565,6.3812500000000005,5.7250000000000005,5.99,6.034000000000001
B09DRLD79T,,,,,,,,,,,,,,,,15.225,17.756,17.839285714285715,17.145769230769233,16.85212121212121,18.824791666666666,17.845588235294116,17.180166666666665,17.06236363636364,17.588387096774195,18.616341463414635,19.1449,18.557727272727274,18.054545454545455,19.027142857142856,19.185783132530123,19.144111111111112,17.524634146341462,17.108666666666668,15.209999999999999,12.772499999999999,13.413333333333334,13.72,16.46,16.928636363636365
B09DYZSHJR,,,,,,,,,,,,,,,,,,,,,9.99,,,,,,8.5525,8.427735849056605,8.548333333333334,8.485652173913044,8.506129032258064,8.643846153846154,,,8.5,9.726666666666667,9.14857142857143,8.59,8.67,8.166666666666666
B09FFXR2VV,,,,,,,,,,,,,,,,13.84,13.84,13.84,14.065999999999999,13.55,14.38888888888889,13.47,13.183333333333335,14.97,14.614,13.845,14.070000000000002,13.845,14.090000000000002,13.620000000000001,12.995714285714286,13.616,14.706,13.845,13.684285714285716,14.704000000000002,14.530000000000001,13.845,13.874,13.620000000000001
B09J98V6HC,,,,,,,,,,,,,,,,10.98,11.5248,11.455925925925927,11.444166666666668,11.154375,11.297428571428572,,,,,12.245000000000001,11.660555555555554,,,,10.49,,7.003333333333333,10.59608695652174,19.696,11.279166666666667,11.013529411764708,10.535454545454545,11.284117647058824,11.642173913043477
B0BSVP76DX,,,,,,,,,,,,,,,,54.44166666666666,46.16,37.22846153846154,36.77666666666667,,,38.55083333333334,38.8568,36.964,39.99,39.99,39.99,,39.99,39.99,39.99,,,,,,,,,
B0BW4Y3G65,,,,,,,,,,,,,,,,,15.891428571428573,12.914444444444445,15.62,11.476,6.99,7.99,6.74,4.976666666666667,6.74,7.485,7.489999999999999,7.49,,,,,,5.975,5.9731250000000005,6.628260869565217,7.36,7.2325,7.315833333333334,6.798571428571429
B0C1HSJX45,,,,,,,,,,,,,,,,,,23.29,,,20.962,19.998571428571427,19.167,17.263333333333332,18.60923076923077,17.176666666666666,19.41,21.169999999999998,23.79,23.79,21.756666666666664,,,22.005,35.3,34.523,25.4675,29.766,29.589999999999996,29.696666666666665
B0C6CDY7MZ,,,,,,,,,,,,,,,,,,,,9.565000000000001,7.99,7.59,7.99,,,,,7.4125,,,,7.99,7.99,,7.23,7.99,8.57,6.79,6.79,6.615
B0CNTYBSDS,,,,,,,,,,,,,,,,,,,,,,,,,,31.392000000000003,30.301666666666662,30.046,31.09,30.218,29.99,26.384999999999998,27.861818181818183,26.808666666666667,23.276,21.246666666666666,24.9125,28.6125,30.53,30.53
B0CWPR3XJR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25,27.786666666666665,,,,,22.32,27.429999999999996,24.41,
B0CZF5GWTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.99,34.33157894736842,34.89615384615385,23.833333333333332,32.72533333333333,38.81473684210526,30.5975,29.956666666666667,27.867,25.85,29.5875
B0DH54X73C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.47,,,67.47,,
B0DH58YW1P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99,,,16.49,17.99
B0DHJ9RGPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.518,56.3075,52.45,35.144285714285715,
B0DJ1YZ71Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,49.0,,45.33,37.263684210526314
B0DPZQWXPY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99,11.99,
B0DQ6ZFD98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99,29.924999999999997,
B08TRR5993,,,,,20.68,23.43957446808511,23.585625000000004,24.300363636363635,28.0475,23.136666666666667,,27.36,30.912499999999998,29.880000000000003,32.661,,,,,,24.52,24.831666666666667,24.7,,24.812857142857144,26.49,23.82,24.61,25.52875
B097Z67RLW,,,,,,9.95,9.95,,,,,,9.95,9.95,9.95,9.95,,,,,,,7.96,9.95,,9.95,,9.455,
B0996CWPJ5,,,,,24.95,25.0,,,24.975,22.963333333333335,,,,,,43.845,,,,,23.75,23.125,,,22.993333333333336,25.0,23.849,,
B09CBQW4K1,,,,52.5,45.94,45.305,45.565,,,,,,,,,44.628,46.87714285714286,,,,,,,,,,,,
B09J1PT7YH,,,,,,,,,,,,,7.79,,,,,,,,,,,19.195,16.995,17.087142857142855,,13.21,
B09RTKNTBZ,,,,,41.94,36.7,41.632,,44.54,42.51222222222222,45.56666666666666,44.67642857142857,32.67153846153846,40.278000000000006,50.83315789473684,33.99,39.92239583333333,39.915098039215685,39.879222222222225,39.936458333333334,,38.25810344827586,39.08661016949153,40.86941176470588,41.39818181818182,34.32333333333333,42.955,41.102,48.282000000000004
B09TMNVQ2B,,,,,18.5,18.5,18.5,,,,,,,,,18.5,18.5,18.5,18.5,18.5,18.509999999999998,19.48,20.41,17.86,,,,,
B0BCH545ZW,,,,5.99,,3.99,5.036969696969697,5.364193548387097,5.226842105263158,5.633333333333334,5.7075000000000005,5.676111111111111,5.735833333333333,5.7537931034482765,5.723333333333334,,4.955,4.302,3.611666666666667,4.852,3.986666666666667,5.1450000000000005,5.260833333333333,5.0878571428571435,5.1775,,,5.473870967741935,5.542222222222223
B0BWFTWCSM,,,,,424.99,,,,,,,,,,,,,,,,,,,,,,,,
B0BZB2Q7TV,,,,,,,,,12.69,13.4575,18.14,20.5836,15.81,12.87,16.569473684210525,15.0,,16.196428571428573,,18.684666666666665,17.758000000000003,20.0,13.501249999999999,12.485,11.735,13.99,14.781052631578946,13.49,16.69
B0CB4XZFN8,,,,,,,,,,,49.99,,49.99,48.74,,,,49.99,49.99,49.99,,,49.99,,49.99,,,,
B0CGJJ5GWX,,,,,,,,,,,44.39,42.19199999999999,,43.96,,41.96,37.215,39.16285714285714,39.29058823529412,44.788000000000004,41.818333333333335,41.94,41.033181818181816,41.43,39.97833333333333,39.44333333333333,37.51379310344828,36.41818181818182,33.81666666666667
B0CMV525SH,,,,,,,,,,,,,,94.98,,,,,,,,92.91000000000001,122.87166666666667,129.87241379310345,131.111914893617,139.42816326530613,101.56,106.37833333333333,103.53
B0CP9YT44S,,,,,,,,,,,,,,,,,19.99,,,,20.7425,19.99,27.11777777777778,,,,27.72923076923077,18.996666666666666,17.49
B0CRJRKGJQ,,,,,,,,,,,,,,,,,5.72,5.85,4.98,5.322413793103448,5.309166666666667,5.47027027027027,5.67,5.7700000000000005,5.6021052631578945,6.108461538461539,5.45,5.04,5.298333333333333
B0CRJT1YK9,,,,,,,,,,,,,,,,7.29,,8.59,8.59,7.5996296296296295,7.635,11.434866666666666,8.765,11.290462962962962,11.272122641509434,9.278613138686133,6.761,5.84,6.553333333333334
B0D35WHCP6,,,,,,,,,,,,,,,,,,,,8.99,,,7.64,8.99,,,,23.964545454545455,
B0D86PV6WG,,,,,,,,,,,,,,,,,,,,,,15.95,15.99,,,,,14.863333333333335,
B0DLPGC7HZ,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,4.49,4.49,
B0DQXKNJGS,,,,,,,,,,,,,,,,,,,,,,,,,,,16.99,16.99,
B08NBF5VCH,,9.38,,,10.100000000000001,,10.478,10.55695652173913,10.092500000000001,10.71,10.44875,10.430000000000001,9.563333333333334,10.336666666666668,10.71,10.196315789473685,10.585,10.585,,10.585,,9.760000000000002,10.96,8.923333333333334,10.624137931034484,10.71,10.718620689655173,10.71,10.618
B09FXFTFQ8,,,,40.99,,,40.99,,,,,,,,,,40.99,,,,,,,,,38.94,,,
B0B1NR7KHG,,,,,11.48,,,,,,10.664615384615384,9.596666666666666,10.47,11.275714285714287,,,,,,,,,,,,,,,11.88
B0BDPQ38M5,,,,,,,,,,,,,35.49,39.77111111111111,40.625,,40.57666666666667,40.556666666666665,38.705,33.12375,37.97166666666667,38.562,30.44333333333333,34.50230769230769,35.983333333333334,31.873333333333335,,,34.4
B0BWGTZRWQ,,,,,,23.99,,,,23.99,20.99,23.99,23.99,,,22.39,,,20.99,30.746,30.516923076923078,27.45090909090909,,29.12964285714286,29.740476190476187,22.99,23.99,31.520666666666667,28.96
B0C2DZH391,,,,,,,,,,,,,,,,8.1,6.96,,6.24,6.96,7.04,7.65,7.585,7.335,7.68,7.68,7.68,15.473471074380164,14.280602409638554
B0C5B91HVB,,,,,,,,,,23.79,,22.005,,21.41,20.62857142857143,21.142222222222223,21.405,22.516,22.2,43.259913043478264,24.886666666666667,,21.395,21.395,21.395,21.395,21.395,21.395,20.596666666666668
B0CJCXLDSP,,,,,,,,,,,,,6.213333333333334,5.325,7.99,,7.99,14.354054054054055,14.586298076923075,,,,7.91,,7.96,7.955000000000001,10.688181818181818,7.94,
B0CJG1VYV6,,,,,,,,,,,,12.73,12.8,14.356923076923076,14.558461538461538,14.031904761904762,13.766190476190475,13.481333333333334,13.354545454545455,13.759444444444444,14.209999999999999,14.487368421052631,14.975000000000001,13.354615384615386,12.954210526315789,12.348,12.963333333333333,,
B0CP62DJFS,,,,,,,,,,,,,,,12.58,12.58,,12.58,,,,32.654,25.279999999999998,13.969999999999999,16.766666666666666,,14.370000000000001,14.573333333333332,15.98
B0CQDB35XF,,,,,,,,,,,,,,,,15.25,,13.344999999999999,11.44,11.325,12.84,17.094615384615384,17.659,12.542,13.617142857142856,13.344999999999999,13.395000000000001,13.862,14.526875
B0CTMG89PH,,,,,,,,,,,,,,,,,,,,,,,,129.99,,103.99,129.99,122.99000000000001,116.89000000000001
B0CW7R421S,,,,,,,,,,,,,,,,,20.22,19.32,11.25,12.93,,,30.075,20.22,19.47,,,,
B0CW9ZSLCR,,,,,,,,,,,,,,,,,,23.69,36.72,24.077777777777776,23.8125,24.721176470588233,20.682307692307692,21.62125,24.24090909090909,22.026,20.425,23.24685714285714,22.253076923076925
B0CY3HGNFF,,,,,,,,,,,,,,,,,,,20.99,,,,20.49,,17.99,16.73,,,25.009999999999998
B0CZF622LK,,,,,,,,,,,,,,,,,,,39.99,47.48,,47.48,,56.974444444444444,44.31,28.73,30.271666666666665,43.757999999999996,49.13111111111111
B0D14Y4665,,,,,,,,,,,,,,,,,,,26.62,26.44333333333333,28.7,37.519999999999996,32.536,27.540000000000003,26.900000000000002,27.7,27.990000000000002,28.485,26.606666666666666
B0D9Y6P5Z5,,,,,,,,,,,,,,,,,,,,,,22.706666666666667,,24.475,27.174375,24.758181818181814,24.035,27.418235294117647,25.033333333333335
B0DKYXDQHN,,,,,,,,,,,,,,,,,,,,,,,,,,14.99,,,
B0DSQBG6ZF,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.656666666666666,11.98
